timestamp	url	login	region_code
1576022400	http://yandex.ru	vasya	77
1576022412	http://google.ru	vasya	77
abc	http://shop.ru/goods/iphonex	petya	59
1576022500	http://yandex.ru	vika	59
1576022412	http://google.ru	sveta	77
1576022435	http://shop.ru/goods/iphonex	kolya	59
1576022500	http://shop.ru/goods/iphonex	vika	abc
1576022700	http://google.ru	vika	59
1576022412	http://yandex.ru	sveta	77
1576022635	http://food-shop	kolya	59
1576022900	http://sports-wiki.ru/apple/	kolya	1000
1576022400	http://yandex.ru	vasya	77
1576022412	http://google.ru	vasya	77
1576022435	http://shop.ru/goods/iphonex	vasya	77
1576022400	123	vasya	77
1576022412	http://google.ru	vasya	77
1576022435	http://shop.ru/goods/iphonex	petya	59
1576022500	http://yandex.ru	vika	59
	http://google.ru	sveta	77
1576022435	http://shop.ru/goods/iphonex	kolya	59
1576022500	http://shop.ru/goods/iphonex	vika	59
1576022700	http://google.ru	vika	59
1576022412		sveta	77
1576022635	http://food-shop	kolya	59
1576022900	http://sports-wiki.ru/apple/	kolya	59
1576022400	http://yandex.ru	vasya	77
1576022412	http://google.ru		77
1576022435	http://shop.ru/goods/iphonex	vasya	77
1576022400	http://yandex.ru	vasya	77
1576022412	http://google.ru	vasya	77
1576022435	http://shop.ru/goods/iphonex	petya	
1576022500	http://yandex.ru	vika	59
1576022412	http://google.ru	sveta	77
1576022435	http://shop.ru/goods/iphonex	kolya	59
1576021500	http://shop.ru/goods/iphonex	vika	59
1576022700	http://google.ru	vika	59
1576022412	http://yandex.ru	sveta	77
1576022635	http://food-shop	kolya	59
1576022900	http://sports-wiki.ru/apple/	kolya	59
1576022400	http://yandex.ru	vasya	77
1576022412	http://google.ru	vasya	77
1576022435	http://shop.ru/goods/iphonex	vasya	77
